key,value
"20 to 29",11727
"30 to 39",8637
"10 to 19",6107
"40 to 49",5536
"50 to 59",3770
"0 to 9",2118
"60 to 69",1855
"70 to 79",609
"Unknown",401
"80 to 89",132
"90 to Older",47
