key,value
"Relationship Unknown",437
"Acquaintance",163
"Otherwise Known",62
"Stranger",53
"Boyfriend/Girlfriend",38
"Spouse",25
"Friend",22
"Child",21
"Parent",12
"Other Family Member",11
"Sibling",8
"Neighbor",7
"Offender",7
"Grandparent",6
"Child of Boyfriend/Girlfriend",4
"Ex Spouse",2
"Grandchild",1
"In-Law",1
"Stepchild",1
"Stepparent",1
"Stepsibling",1
"Common Law Spouse",1
"Babysittee",0
"Employee",0
"Employer",0
"Homosexual Relationship",0
