key,value
"10 to 19",857
"20 to 29",685
"30 to 39",408
"40 to 49",225
"0 to 9",194
"50 to 59",104
"60 to 69",30
"Unknown",23
"70 to 79",18
"80 to 89",6
"90 to Older",4
