"series",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",119.3,113.9,113.1,109,101.3,102.2,102.9,98.6,86.1,81.8,73.9
"North Carolina",100.6,97.9,96.3,94.2,84.6,87.9,91.9,96.2,72.9,73.3,69.2
