key,value
"20 to 29",263
"30 to 39",154
"10 to 19",90
"40 to 49",74
"50 to 59",69
"60 to 69",36
"0 to 9",23
"70 to 79",20
"Unknown",6
"80 to 89",5
"90 to Older",2
