key,value
"Acquaintance",626
"Relationship Unknown",333
"Boyfriend/Girlfriend",274
"Friend",261
"Otherwise Known",209
"Other Family Member",146
"Stranger",146
"Child",100
"Spouse",56
"Sibling",55
"Stepchild",41
"Ex Spouse",33
"Child of Boyfriend/Girlfriend",28
"Grandchild",22
"Neighbor",20
"Stepsibling",15
"Employee",14
"Common Law Spouse",8
"In-Law",7
"Stepparent",6
"Parent",4
"Offender",3
"Babysittee",1
"Employer",1
"Grandparent",0
"Homosexual Relationship",0
