key,value
"20 to 29",9470
"30 to 39",6209
"Unknown",5401
"10 to 19",4346
"40 to 49",3183
"50 to 59",1954
"60 to 69",682
"70 to 79",159
"0 to 9",34
"80 to 89",23
"90 to Older",19
