key,value
"20 to 29",344
"10 to 19",154
"30 to 39",138
"Unknown",72
"40 to 49",66
"50 to 59",34
"60 to 69",13
"70 to 79",8
"80 to 89",3
"0 to 9",0
"90 to Older",0
