key,value
"20 to 29",599
"30 to 39",480
"10 to 19",386
"40 to 49",299
"Unknown",256
"50 to 59",191
"60 to 69",72
"70 to 79",19
"0 to 9",12
"80 to 89",1
"90 to Older",1
