"series",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
"North Carolina",362.7,346.3,353.5,341,329.1,346.1,371.8,370.4,356.2,378.7,419.3
